Style,Category,Artist,Title,Image URL,Art (image+title): agreeableness,Art (image+title): anger,Art (image+title): anticipation,Art (image+title): arrogance,Art (image+title): disagreeableness,Art (image+title): disgust,Art (image+title): fear,Art (image+title): gratitude,Art (image+title): happiness,Art (image+title): humility,Art (image+title): love,Art (image+title): optimism,Art (image+title): pessimism,Art (image+title): regret,Art (image+title): sadness,Art (image+title): shame,Art (image+title): shyness,Art (image+title): surprise,Art (image+title): trust,Art (image+title): neutral,ImageOnly: agreeableness,ImageOnly: anger,ImageOnly: anticipation,ImageOnly: arrogance,ImageOnly: disagreeableness,ImageOnly: disgust,ImageOnly: fear,ImageOnly: gratitude,ImageOnly: happiness,ImageOnly: humility,ImageOnly: love,ImageOnly: optimism,ImageOnly: pessimism,ImageOnly: regret,ImageOnly: sadness,ImageOnly: shame,ImageOnly: shyness,ImageOnly: surprise,ImageOnly: trust,ImageOnly: neutral,TitleOnly: agreeableness,TitleOnly: anger,TitleOnly: anticipation,TitleOnly: arrogance,TitleOnly: disagreeableness,TitleOnly: disgust,TitleOnly: fear,TitleOnly: gratitude,TitleOnly: happiness,TitleOnly: humility,TitleOnly: love,TitleOnly: optimism,TitleOnly: pessimism,TitleOnly: regret,TitleOnly: sadness,TitleOnly: shame,TitleOnly: shyness,TitleOnly: surprise,TitleOnly: trust,TitleOnly: neutral
Modern Art,Cubism,Fernand Leger,Propellers 2nd state,https://uploads3.wikiart.org/images/janos-mattis-teutsch/composition-1923-1(8).jpg,0,0,0.3,0,0,0,0,0.1,0.2,0,0,0.1,0,0,0,0,0,0.7,0,0,0,0,0.3,0,0,0,0,0,0.3,0,0,0.1,0,0,0,0,0,0.6,0.1,0,0.1,0,0.2,0,0,0.2,0,0,0,0,0.1,0,0,0,0,0,0,0.3,0.1,0.2
Modern Art,Post-Impressionism,Robert Delaunay,Man with a Tulip (also known as Portrait of Jean Metzinger),https://uploads1.wikiart.org/images/pietro-perugino/madonna-in-glory-with-the-child-and-saints.jpg,0.091,0,0.364,0,0,0,0,0,0.364,0,0.091,0.273,0.091,0,0.091,0,0.091,0.091,0.091,0,0.091,0,0.273,0,0,0,0,0,0.273,0,0,0.182,0.091,0,0.091,0,0,0,0.091,0,0.091,0,0.182,0,0,0,0,0,0.182,0.273,0.091,0.182,0.091,0,0,0,0,0,0.091,0
Modern Art,Post-Impressionism,Maxime Maufra,Departure of Fishing Boats,https://uploads0.wikiart.org/images/paul-cezanne/still-life-with-bottle-and-apple-basket-1894.jpg,0,0,0.1,0,0,0,0,0.1,0.7,0.6,0.2,0.7,0,0.1,0.1,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0.1,0.7,0.5,0,0.6,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0.6,0.6,0.1,0.4,0,0.1,0.1,0,0,0,0,0
Modern Art,Cubism,Gosta Adrian-Nilsson,Soldat,https://uploads4.wikiart.org/images/martin-schongauer/portrait-of-a-young-woman.jpg,0,0.2,0.2,0.1,0,0.2,0,0,0,0,0,0.2,0.1,0,0.1,0,0,0.5,0.2,0,0,0.1,0.5,0.1,0.1,0.1,0,0,0,0,0,0.1,0,0,0.1,0,0,0.6,0.1,0,0.125,0.125,0.125,0.125,0,0.125,0.25,0,0.125,0,0,0.125,0.125,0,0.125,0,0,0.125,0.25,0
Modern Art,Pop Art,Roger Raveel,Zulma,https://uploads8.wikiart.org/images/andre-masson/gradiva.jpg,0,0.1,0.3,0,0.1,0.1,0.2,0.1,0,0.4,0,0.1,0.1,0.1,0.3,0.1,0,0.1,0.3,0,0,0,0.2,0.1,0,0.2,0.3,0.1,0.1,0.3,0,0.1,0.2,0.3,0.2,0,0,0.1,0.3,0,0.1,0,0.4,0,0,0.1,0,0.1,0.4,0.3,0,0.1,0,0.1,0.1,0,0,0.2,0.1,0
Renaissance Art,Northern Renaissance,Pieter Aertsen,Cook in front of the Stove,https://uploads1.wikiart.org/00141/images/louise-abbema/cae-19-abbema118i.jpg,0,0,0.091,0.091,0,0,0.091,0.091,0.091,0.545,0,0.364,0,0,0,0,0,0.091,0.455,0,0.091,0,0.091,0.091,0,0.091,0.091,0.091,0.182,0.455,0,0.273,0,0,0,0,0,0,0.455,0,0,0,0.182,0,0,0,0,0.091,0.545,0.182,0.091,0.091,0,0,0,0,0,0.091,0.182,0
Post Renaissance Art,Baroque,Agostino Carracci,Dog,https://uploads3.wikiart.org/images/jean-honore-fragonard/the-fountain-of-love.jpg,0,0,0.1,0,0,0,0,0,0.4,0.4,0,0.2,0,0,0.2,0,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0.4,0.4,0,0.2,0,0,0.1,0,0,0.1,0.2,0,0,0,0.1,0,0,0,0,0.1,0.6,0.3,0.1,0.3,0,0,0,0,0,0.1,0.1,0
Post Renaissance Art,Romanticism,Thomas Lawrence,George IV,https://uploads0.wikiart.org/images/fernand-leger/propellers-2nd-state-1918.jpg,0.1,0,0.1,0.3,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.6,0,0.1,0,0.1,0.3,0,0.1,0,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,0.6,0,0.1,0,0.2,0.3,0,0.1,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0.6,0
Modern Art,Pop Art,Dieter Asmus,Madchen am Meer,https://uploads7.wikiart.org/images/robert-delaunay/man-with-a-tulip-also-known-as-portrait-of-jean-metzinger.jpg,0,0.1,0,0,0,0,0,0,0.7,0.2,0.2,0,0,0,0,0.1,0,0.1,0,0,0,0,0.1,0,0.1,0,0,0,0.6,0.1,0.2,0.2,0,0,0,0.1,0,0,0.1,0,0,0,0.4,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2
Post Renaissance Art,Neoclassicism,John William Godward,Contemplation,https://uploads6.wikiart.org/images/maxime-maufra/departure-of-fishing-boats-1900.jpg,0.091,0,0,0,0.091,0.091,0.091,0.182,0.455,0.273,0.455,0.182,0.091,0.091,0.182,0,0,0,0.455,0,0.091,0,0,0,0.091,0.091,0.091,0.182,0.364,0.364,0.273,0.091,0.091,0.091,0.182,0,0.091,0,0.455,0,0,0,0.182,0,0,0,0,0.182,0.364,0.273,0.091,0.182,0,0,0.091,0,0,0.091,0.182,0
Post Renaissance Art,Baroque,Otto van Veen,Portrait of Nicolaas Rockox,https://uploads2.wikiart.org/images/gosta-adrian-nilsson/soldat-1917.jpg,0,0.1,0,0.3,0,0,0,0,0.2,0.1,0,0.1,0,0,0,0,0,0,0.6,0,0,0,0,0.2,0,0,0,0,0.2,0.1,0,0.1,0,0,0,0,0,0,0.5,0.1,0,0,0.1,0.1,0,0,0,0,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0.4,0.1
Post Renaissance Art,Rococo,Antoine Pesne,Frederick II of Prussia,https://uploads2.wikiart.org/images/roger-raveel/zulma-1948.jpg,0.1,0,0.1,0.3,0,0,0,0,0.4,0.1,0.1,0.2,0,0,0,0,0,0.1,0.6,0,0.1,0,0.1,0.2,0,0,0,0.1,0.3,0.1,0.1,0.2,0,0,0,0,0,0.1,0.6,0,0.1,0,0.1,0.1,0,0.1,0,0,0.2,0.1,0.1,0.1,0,0,0,0,0,0.1,0.6,0.1
Modern Art,Lyrical Abstraction,Marcelle Loubchansky,Composition,https://uploads7.wikiart.org/images/pieter-aertsen/cook-in-front-of-the-stove-1559.jpg,0,0.2,0,0.1,0,0.2,0.4,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0.1,0,0,0,0.1,0.1,0.1,0,0.2,0.5,0,0,0,0.1,0,0.2,0,0.2,0,0,0.2,0,0,0,0,0.3,0,0,0.3,0,0,0.2,0.1,0,0,0,0,0,0,0,0.1,0,0
Modern Art,Color Field Painting,Morris Louis,Partition,https://uploads0.wikiart.org/images/agostino-carracci/dog.jpg,0,0,0.3,0,0,0,0,0,0.1,0.2,0,0.2,0,0,0.1,0,0.1,0.5,0.1,0,0,0,0.3,0,0,0,0,0,0.2,0.1,0,0.1,0,0,0.1,0,0.1,0.6,0.1,0,0,0,0.4,0,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0,0,0.2,0,0,0.1,0.1,0
Modern Art,Magic Realism,Eyvind Earle,Hidden Hills,https://uploads0.wikiart.org/images/thomas-lawrence/george-iv-1820.jpg,0.083,0,0.417,0,0,0,0.083,0,0.5,0.083,0.083,0.25,0,0,0,0,0,0.25,0.083,0.083,0,0,0.167,0,0,0,0,0.083,0.417,0.167,0.083,0.083,0,0,0,0,0.083,0.333,0.167,0.083,0.083,0,0.5,0,0,0.167,0,0,0.167,0,0.083,0.167,0,0,0.083,0,0.083,0.167,0,0.083
Modern Art,Cubism,Paul Klee,Temple Gardens,https://uploads7.wikiart.org/images/dieter-asmus/madchen-am-meer.jpg,0,0,0,0.2,0,0,0,0.1,0.7,0.3,0.1,0.2,0,0,0,0,0,0.2,0.3,0,0.1,0,0.4,0.1,0,0.1,0,0.2,0.2,0.2,0,0.4,0,0,0,0,0,0.2,0.2,0,0.1,0,0.1,0.1,0,0,0,0,0.7,0.3,0.1,0.2,0,0,0,0,0.1,0.1,0.3,0
Modern Art,Abstract Expressionism,Gandy Brodie,Snowy Day and Willow,https://uploads0.wikiart.org/images/john-william-godward/contemplation-1903.jpg,0.1,0,0.3,0.1,0,0.1,0.3,0.1,0.2,0.2,0,0,0.2,0.1,0.5,0,0,0.4,0.2,0,0.1,0,0.2,0,0.3,0.2,0.3,0.2,0,0.2,0,0,0.2,0.1,0.4,0,0,0.2,0.1,0,0,0,0.4,0,0,0.2,0.1,0.1,0.5,0.4,0,0.3,0.1,0.1,0.2,0,0,0.2,0.1,0
Post Renaissance Art,Romanticism,Charles Turner,Catherine Whitmore (n&#233;e Thomason),https://uploads4.wikiart.org/00115/images/otto-van-veen/portrait-of-nicolaas-rockox-1600.jpg,0,0,0,0.083,0,0,0,0.083,0.333,0.333,0,0.083,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0.083,0.417,0.25,0.083,0,0,0,0,0,0,0,0.833,0,0,0,0.091,0,0,0.091,0,0,0.273,0.273,0,0,0,0,0,0,0,0,0.364,0
Modern Art,Post-Impressionism,Victor Borisov-Musatov,Tapestry,https://uploads3.wikiart.org/images/antoine-pesne/frederick-ii-of-prussia-1757.jpg,0.077,0,0.077,0.077,0,0,0,0.308,0.385,0.462,0,0.077,0.077,0,0.154,0.077,0.154,0.231,0.308,0,0.231,0,0.077,0.154,0.077,0,0.077,0.154,0.462,0.231,0.154,0.077,0,0,0.308,0.077,0,0,0.231,0,0.077,0,0.538,0,0,0.077,0.077,0,0.077,0.308,0.077,0.154,0,0.077,0,0,0.077,0.154,0.077,0
Post Renaissance Art,Realism,Edouard Manet,The Balcony,https://uploads0.wikiart.org/images/marcelle-loubchansky/composition-1961-1.jpg,0,0,0.091,0.273,0,0,0.091,0.091,0.455,0.091,0.273,0.182,0,0,0.091,0.091,0.091,0.091,0.455,0,0.091,0,0.182,0.273,0,0,0,0.091,0.545,0.091,0.273,0.182,0,0,0.091,0,0.091,0.182,0.273,0,0,0,0.273,0,0.091,0,0,0.091,0.273,0,0.091,0,0.182,0,0,0,0,0.091,0.091,0.182
Modern Art,Abstract Expressionism,William Turnbull,Head Blue/Yellow,https://uploads6.wikiart.org/images/morris-louis/partition-1962.jpg,0,0.1,0.4,0,0.1,0.1,0,0,0.1,0.1,0,0.2,0.1,0,0,0,0,0.5,0.2,0,0,0,0.4,0.1,0.1,0.1,0,0,0.3,0.1,0,0.1,0,0,0.1,0,0,0.3,0.2,0,0.1,0,0.4,0,0,0.1,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0.1,0.2,0.2
Modern Art,Expressionism,August Macke,St. Mary&#39;s with Houses and Chimney (Bonn),https://uploads4.wikiart.org/images/eyvind-earle/hidden-hills.jpg,0.1,0,0,0,0,0.1,0,0,0.3,0.5,0,0.1,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0.1,0,0,0.1,0.5,0,0.1,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0,0,0.1,0,0,0.1,0.1,0,0.2,0,0,0,0,0,0,0.3,0
Modern Art,Neo-Expressionism,Robert Qualters,Hazelwood – 2nd Avenue,https://uploads8.wikiart.org/images/paul-klee/temple-gardens-1920.jpg,0.028,0.056,0.169,0.07,0.099,0.099,0.394,0.042,0.085,0.056,0,0.028,0.239,0.099,0.338,0.042,0.042,0.155,0.07,0,0.028,0.141,0.155,0.099,0.07,0.099,0.493,0.014,0.028,0.056,0,0,0.183,0.056,0.324,0.028,0.042,0.155,0.056,0,0.028,0,0.347,0.014,0.056,0.083,0.083,0.014,0.069,0.069,0,0.083,0.028,0.014,0.056,0.014,0,0.125,0.125,0.125
Post Renaissance Art,Realism,Vasily Tropinin,Ustim Karmaluk,https://uploads4.wikiart.org/images/matthias-grünewald/last-supper-coburg-panel.jpg,0.083,0.083,0.167,0.083,0,0.167,0.083,0,0.083,0.167,0,0,0.083,0.083,0.083,0.083,0,0,0.5,0,0,0.083,0.167,0.167,0,0.167,0.083,0,0.083,0.167,0,0,0,0,0.083,0.083,0,0.083,0.5,0,0,0,0.417,0.083,0,0.167,0.083,0,0,0.083,0,0,0.25,0.083,0.083,0.167,0,0.083,0.083,0
Post Renaissance Art,Neoclassicism,Francisco Bayeu y Subias,La feliz uni&#243;n de Espa&#241;a y Parma impulsa las ciencias y las artes,https://uploads8.wikiart.org/images/gandy-brodie/snowy-day-and-willow-1957.jpg,0,0.091,0,0.091,0,0.091,0,0.091,0.636,0,0.091,0.182,0,0,0,0,0,0,0.545,0,0,0,0.091,0,0,0,0,0.182,0.545,0,0.091,0.091,0,0,0,0,0,0.091,0.636,0,0,0,0,0,0,0,0,0,0.429,0,0.143,0.143,0,0,0,0,0,0,0.571,0
Post Renaissance Art,Rococo,Louise Elisabeth Vigee Le Brun,Queen Marie Antoinette of France,https://uploads3.wikiart.org/images/charles-turner/catherine-whitmore-n-e-thomason-1810.jpg,0,0,0.077,0.077,0.077,0,0,0.308,0.231,0.077,0.077,0.308,0,0,0,0,0,0,0.615,0,0.077,0,0.077,0.077,0,0,0,0.077,0.154,0.077,0.077,0.154,0,0,0,0,0,0,0.692,0,0,0,0.154,0.154,0,0,0,0.077,0,0.077,0.077,0,0,0,0,0,0,0,0.615,0
Post Renaissance Art,Romanticism,Caspar David Friedrich,Chalk Cliffs on R&#252;gen,https://uploads6.wikiart.org/images/victor-borisov-musatov/tapestry-1901.jpg,0,0,0.077,0,0,0,0.231,0.077,0.538,0.308,0.077,0.231,0.077,0,0.077,0,0,0.154,0.231,0,0,0,0.231,0.077,0.077,0.077,0.154,0.077,0.462,0.385,0.077,0.308,0.077,0,0,0,0.077,0.154,0.154,0,0,0.077,0.769,0,0,0,0.077,0.077,0.308,0,0,0.154,0,0.077,0,0,0,0.308,0.077,0
Post Renaissance Art,Baroque,Adriaen Brouwer,Feeling,https://uploads0.wikiart.org/images/edouard-manet/the-balcony-1869.jpg,0,0.2,0.1,0,0,0.3,0.7,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0.2,0,0,0.2,0.1,0,0,0.1,0.7,0,0,0,0,0,0.1,0,0.2,0,0,0.1,0.2,0,0,0,0.1,0,0,0,0,0,0.5,0.2,0.5,0.1,0,0,0,0,0,0.1,0.1,0.1
Post Renaissance Art,Rococo,David Morier,"Major General the Honourable Sir Charles Howard, CB, Colonel of the Regiment",https://uploads8.wikiart.org/images/william-turnbull/head-blue-yellow-1956.jpg,0,0.1,0,0.4,0,0.1,0.1,0,0,0,0,0.2,0,0,0,0,0,0,0.7,0,0,0.1,0,0.5,0,0,0.1,0,0,0,0,0.2,0,0,0,0,0,0,0.6,0,0,0,0,0.2,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0.7,0
Renaissance Art,Northern Renaissance,Pieter Aertsen,Market woman at a vegetable stand,https://uploads3.wikiart.org/images/august-macke/st-mary-s-with-houses-and-chimney-bonn.jpg,0.071,0,0.071,0,0.071,0.071,0,0.143,0.571,0.357,0,0.143,0.071,0,0,0,0.071,0,0,0,0.071,0,0.071,0,0.071,0,0.071,0.071,0.429,0.357,0.143,0.143,0,0.071,0,0,0.071,0.214,0.143,0,0.071,0,0.071,0,0,0,0.071,0.214,0.429,0.5,0,0.143,0,0.071,0,0,0.071,0,0,0
Modern Art,Art Informel,Natalia Dumitresco,Galaxy,https://uploads2.wikiart.org/images/robert-qualters/hazelwood-2nd-avenue-1984.jpg,0.02,0,0.314,0.02,0,0.059,0.059,0.059,0.157,0.059,0.02,0.157,0.039,0.02,0.078,0.02,0.02,0.451,0.137,0,0.02,0,0.353,0,0.078,0.078,0.098,0.039,0.059,0.059,0,0.039,0.059,0.02,0.098,0.02,0.02,0.51,0.039,0,0,0,0.4,0,0.04,0.04,0.02,0.12,0.28,0.04,0.04,0.18,0,0.02,0,0,0,0.26,0.22,0
Modern Art,Impressionism,Marianne North,View of Round Island and a Part of St Anne&#39;s from Quarantine Island,https://uploads0.wikiart.org/images/vasily-tropinin/ustim-karmaluk.jpg,0,0,0,0,0,0,0,0.1,0.9,0.6,0.2,0.4,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,1,0.4,0.2,0.2,0,0,0,0,0,0,0.3,0,0.1,0,0.1,0,0,0,0.1,0,0.6,0.1,0.2,0.2,0,0,0,0,0,0.1,0.1,0
Modern Art,Cubism,Louis Marcoussis,Nature morte,https://uploads2.wikiart.org/images/francisco-bayeu-y-subias/la-feliz-uni-n-de-espa-a-y-parma-impulsa-las-ciencias-y-las-artes-1788.jpg,0,0,0.1,0.1,0,0.3,0,0,0.2,0,0.1,0.2,0.1,0.1,0.2,0,0,0.2,0.1,0,0,0,0.2,0,0,0.1,0,0.2,0.2,0,0.1,0.2,0.1,0.1,0.1,0,0,0.5,0.1,0,0,0,0.111,0,0,0.222,0,0.222,0.222,0.111,0.111,0.111,0.111,0.111,0.222,0.111,0,0,0,0.111
Modern Art,Impressionism,Philip Wilson Steer,"Knucklebones, Walberswick",https://uploads2.wikiart.org/images/louise-elisabeth-vigee-le-brun/queen-marie-antoinette-of-france-1783.jpg,0,0,0.083,0,0,0,0,0.167,0.75,0.25,0.167,0.083,0,0,0,0,0,0.083,0.167,0,0,0,0.083,0,0,0,0,0.083,0.833,0.333,0.167,0.083,0,0,0,0,0,0.083,0.25,0,0,0,0.5,0,0.083,0.083,0,0,0,0,0,0,0,0,0,0,0,0.167,0.25,0.25
Modern Art,Cubism,Alice Bailly,Cemetery,https://uploads1.wikiart.org/images/caspar-david-friedrich/chalk-cliffs-on-r-gen-1818.jpg,0.1,0.1,0.1,0,0,0.1,0.2,0,0,0,0,0.3,0.2,0,0.3,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0.2,0,0,0.2,0,0,0.2,0,0,0.1,0.1,0,0,0,0,0.1,0,0.1,0.6,0,0,0,0,0,0.1,0,0.5,0,0,0,0,0
Modern Art,Post-Impressionism,Edvard Weie,"View over Wilder&#39;s Square, Christianshavn",https://uploads2.wikiart.org/images/adriaen-brouwer/feeling.jpg,0.07,0.014,0.085,0,0.028,0.014,0.014,0.042,0.479,0.352,0,0.127,0.014,0,0.099,0,0.028,0.07,0.169,0,0.07,0.014,0.141,0,0,0,0,0.042,0.394,0.324,0,0.197,0.028,0,0.127,0,0.014,0.099,0.141,0,0.056,0,0.254,0.014,0.028,0,0,0.042,0.437,0.183,0.028,0.197,0,0,0,0.014,0.028,0.056,0.183,0.028
Modern Art,Post-Impressionism,Vincent van Gogh,Paul Gauguin&#39;s Armchair,https://uploads7.wikiart.org/00137/images/david-morier/major-general-the-honourable-sir-charles-howard-cb-colonel-of-the-regiment-1745.jpg,0,0,0.333,0,0,0,0,0.167,0.167,0.417,0,0,0,0,0.083,0,0.083,0.083,0.333,0.083,0,0,0.25,0,0,0,0,0.083,0.167,0.333,0,0.083,0,0,0.25,0,0.083,0.083,0.167,0,0,0,0.417,0,0,0,0,0,0.167,0.167,0,0,0,0,0,0,0,0.083,0.333,0.083
Contemporary Art,Minimalism,Francois Morellet,32 Rectangles,https://uploads5.wikiart.org/images/pieter-aertsen/market-woman-at-a-vegetable-stand-1567.jpg,0.1,0.1,0.2,0,0,0.2,0,0,0.1,0,0,0.1,0,0,0,0,0,0.3,0,0.1,0.1,0,0.2,0.1,0,0.1,0,0,0.1,0,0,0.1,0,0,0,0,0,0.6,0,0.1,0,0,0.3,0,0,0.2,0,0,0.1,0,0,0.1,0,0,0,0,0,0.4,0,0.2
Modern Art,Surrealism,Remedios Varo,Eyes on the table,https://uploads0.wikiart.org/images/natalia-dumitresco/galaxy-1959.jpg,0.083,0,0.417,0,0.083,0,0.167,0,0,0.167,0,0.083,0.167,0,0,0,0,0.417,0.083,0,0,0,0.583,0,0.083,0.083,0.083,0,0,0.083,0,0.167,0,0,0,0,0,0.417,0.083,0,0,0,0.5,0,0.167,0,0,0,0.083,0,0,0.083,0.083,0.083,0,0,0,0.333,0.167,0
Post Renaissance Art,Romanticism,Henry Fuseli,"&#39;Macbeth&#39;, Act I, Scene 3, the Weird Sisters",https://uploads3.wikiart.org/images/marianne-north/view-of-round-island-and-a-part-of-st-anne-s-from-quarantine-island-1883.jpg,0,0.2,0.1,0.1,0.2,0.2,0.5,0,0.1,0,0,0,0.1,0.1,0,0.1,0,0,0.1,0,0,0.2,0.1,0.1,0.1,0.3,0.5,0,0.1,0,0,0,0.2,0.1,0,0.1,0,0,0.2,0,0,0,0.2,0,0.1,0.2,0.2,0,0.1,0,0.1,0,0.1,0.1,0,0.2,0,0.3,0,0
Modern Art,Pop Art,Gerard Fromanger,Souffle de Mai,https://uploads4.wikiart.org/images/louis-marcoussis/nature-morte-1926.jpg,0.1,0,0.5,0,0,0,0,0,0.3,0,0.3,0.1,0.1,0,0,0,0,0.2,0.2,0,0.1,0,0.4,0,0.1,0.1,0,0.1,0.2,0,0.3,0.1,0.1,0,0,0.1,0,0.2,0,0,0,0,0.889,0,0,0.111,0,0.111,0.111,0,0,0.222,0,0,0,0,0,0,0,0
Modern Art,Cubism,Juan Gris,Harlequin with Guitar,https://uploads1.wikiart.org/images/philip-wilson-steer/knucklebones-walberswick-1889.jpg,0.018,0,0.164,0,0.018,0.055,0.018,0.091,0.473,0.182,0.055,0.109,0.055,0,0.055,0,0.018,0.255,0.127,0,0,0.018,0.291,0,0,0.055,0.036,0.018,0.418,0.145,0.036,0.127,0.073,0.018,0.036,0,0.018,0.309,0.109,0,0.055,0,0.182,0.036,0,0.018,0.018,0.036,0.6,0.109,0.073,0.2,0,0.018,0.055,0,0.018,0.109,0.145,0
Modern Art,Expressionism,Max Pechstein,The Masked Woman,https://uploads8.wikiart.org/00145/images/alice-bailly/display-image-22.jpg,0,0,0.231,0.154,0.077,0.154,0.231,0,0,0,0.154,0,0,0.077,0,0,0,0.231,0.077,0,0,0,0.154,0.154,0.077,0.077,0.154,0,0.154,0.154,0.077,0,0,0.154,0,0,0,0.308,0.077,0,0,0,0.462,0,0.077,0.077,0.077,0.077,0,0,0.077,0,0.077,0.077,0.077,0,0,0.154,0,0
Post Renaissance Art,Neoclassicism,Pierre-Narcisse Guerin,Portrait of Louis du Vergier,https://uploads0.wikiart.org/images/edvard-weie/view-over-wilder-s-square-christianshavn-1906.jpg,0.1,0,0.1,0.2,0.1,0,0,0,0,0,0,0.2,0,0,0.1,0,0.1,0.1,1,0,0.1,0,0.1,0.2,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0,0.1,1,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.1,1,0
Post Renaissance Art,Romanticism,Johan Christian Dahl,Der Watzmann,https://uploads6.wikiart.org/images/vincent-van-gogh/paul-gauguin-s-armchair-1888.jpg,0,0,0.1,0,0,0,0,0.1,0.6,0.2,0.1,0.2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.1,0.6,0.1,0,0.2,0,0,0,0,0,0.1,0.4,0,0,0,0.286,0.143,0,0,0,0,0.143,0,0.143,0,0,0,0,0,0,0,0.143,0.143
Post Renaissance Art,Baroque,Jacob Jordaens,Satyr playing flute,https://uploads6.wikiart.org/images/francois-morellet/32-rectangles-1953.jpg,0.1,0,0.1,0,0,0,0,0.1,0.8,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,1,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0,0,0.8,0.1,0.2,0,0,0,0,0,0,0,0.1,0
Post Renaissance Art,Rococo,Allan Ramsay,Mary Digges (1737-1829) Lady Robert Manners,https://uploads6.wikiart.org/images/remedios-varo/eyes-on-the-table-1938.jpg,0,0,0.083,0.25,0,0.083,0,0,0.583,0.417,0.167,0.083,0,0,0,0,0,0.083,0.583,0,0,0,0.083,0.25,0,0,0,0,0.5,0.083,0.25,0.083,0,0,0,0,0,0.083,0.583,0,0.083,0,0.333,0.083,0,0,0,0,0.167,0.083,0.25,0.083,0,0,0.083,0,0,0.167,0.25,0.083
Post Renaissance Art,Rococo,Jean-Honore Fragonard,The Stolen Kiss,https://uploads3.wikiart.org/images/henry-fuseli/macbeth-act-i-scene-3-the-weird-sisters-1783(1).jpg,0.083,0,0.167,0,0.083,0,0,0.167,0.333,0.083,0.417,0.25,0,0,0,0.083,0,0.167,0.083,0,0.083,0,0.167,0,0,0,0,0,0.417,0,0.5,0.167,0,0,0,0.083,0,0.083,0.167,0,0.083,0,0.167,0,0,0,0,0.083,0.333,0,0.583,0,0,0.083,0,0.083,0,0.083,0.083,0
Modern Art,Lyrical Abstraction,Bernard Cohen,Fall,https://uploads6.wikiart.org/images/gerard-fromanger/souffle-de-mai-1968.jpg,0.1,0,0.4,0,0,0.2,0.2,0,0.1,0,0,0.1,0.1,0.1,0,0,0.1,0.5,0,0,0.1,0,0.4,0,0.1,0.1,0.1,0,0.4,0.1,0,0.1,0,0,0,0,0,0.5,0,0,0,0,0.3,0,0,0.1,0.2,0,0.2,0.1,0,0.2,0.1,0,0.1,0,0,0.2,0,0
Renaissance Art,Early Renaissance,Benozzo Gozzoli,Procession of the Magi,https://uploads6.wikiart.org/images/juan-gris/harlequin-with-guitar-1919.jpg,0,0,0.4,0,0,0,0,0.2,0.3,0.3,0,0.2,0.1,0,0.1,0,0,0.1,0.8,0,0,0,0.3,0,0,0,0.1,0.2,0.1,0.2,0,0.1,0,0,0,0,0,0.1,0.6,0,0,0,0.4,0,0,0,0,0.1,0.2,0.1,0.1,0.2,0,0,0,0,0,0.1,0.6,0.1
Renaissance Art,Northern Renaissance,Gerard David,The Angel of the Annunciation,https://uploads5.wikiart.org/images/max-pechstein/the-masked-woman-1910.jpg,0,0.1,0.3,0,0,0,0.2,0.4,0.3,0.3,0,0.1,0,0,0,0,0,0.1,0.8,0,0.1,0,0.2,0,0,0,0.1,0.2,0.2,0.2,0,0.1,0,0,0,0,0,0.1,0.9,0,0,0,0.3,0,0,0,0.1,0.3,0.1,0.3,0,0,0,0,0,0,0,0.1,0.7,0
Modern Art,Abstract Art,Marsden Hartley,Abstraction,https://uploads8.wikiart.org/images/pierre-narcisse-guerin/portrait-of-louis-du-vergier-1819.jpg,0,0,0.455,0,0,0,0,0,0.091,0.091,0,0.091,0,0,0,0,0,0.636,0,0,0,0,0.273,0,0.091,0.091,0,0,0.091,0.091,0,0.091,0,0,0,0,0,0.545,0,0,0,0,0.364,0,0,0,0,0,0.091,0.091,0,0.091,0,0,0,0,0,0.636,0,0
